Time (s),Output
Grasp ,38.094735860824585
Grasp ,38.20034980773926
idle,38.32546615600586
idle,38.43587327003479
idle,38.55466842651367
idle,38.65039110183716
idle,38.7883780002594
idle,38.917487144470215
Grasp ,39.073978424072266
Grasp ,39.260114431381226
Grasp ,39.41658544540405
Grasp ,39.55361866950989
Grasp ,39.73559212684631
Grasp ,39.923418045043945
Grasp ,40.0743932723999
Realese,40.2550106048584
idle,40.357937812805176
idle,40.476242542266846
idle,40.58299231529236
idle,40.6876118183136
idle,40.79670834541321
Grasp ,40.91578555107117
idle,41.01414084434509
Reach ,41.13165736198425
idle,41.26909947395325
idle,41.365050315856934
Grasp ,41.465431690216064
Grasp ,41.58271360397339
Grasp ,41.67453646659851
Grasp ,41.77735161781311
Grasp ,41.896522998809814
idle,41.99573540687561
idle,42.10534644126892
Reach ,42.207756757736206
Reach ,42.31738090515137
Reach ,42.42366051673889
Reach ,42.527082681655884
Reach ,42.63545322418213
Reach ,42.771610736846924
Reach ,42.88558793067932
Reach ,42.9839551448822
Reach ,43.08151316642761
Reach ,43.19690442085266
Reach ,43.31170129776001
Reach ,43.42109274864197
Reach ,43.536537647247314
Reach ,43.68214201927185
Reach ,43.79349493980408
Reach ,43.9110791683197
Grasp ,44.0098831653595
Grasp ,44.14361906051636
Grasp ,44.22689390182495
Reach ,44.35020327568054
Grasp ,44.479028940200806
Reach ,44.63683032989502
Reach ,44.744264364242554
Reach ,44.85900926589966
Reach ,44.97575497627258
Reach ,45.0977680683136
Reach ,45.197343587875366
Reach ,45.32352089881897
Reach ,45.428914308547974
Reach ,45.52323508262634
Realese,45.64487028121948
idle,45.75854182243347
Reach ,45.850115060806274
idle,45.999197244644165
Reach ,46.118324995040894
Reach ,46.24279427528381
Reach ,46.3604793548584
Reach ,46.50203824043274
Reach ,46.6165726184845
Grasp ,46.722724199295044
Grasp ,46.847083568573
Grasp ,46.98348426818848
idle,47.09302234649658
Realese,47.178081035614014
Realese,47.28019142150879
Reach ,47.386122703552246
Reach ,47.47624897956848
idle,47.556331157684326
Reach ,47.647841930389404
Reach ,47.73371243476868
Reach ,47.81525802612305
Reach ,47.897631883621216
Reach ,47.993040800094604
Reach ,48.09772539138794
Reach ,48.20996856689453
Reach ,48.30101943016052
Reach ,48.36442422866821
