group_id,Time (s),difference
1,Grasp ,
2,Realese,0.2815980911254865
3,Grasp ,0.1274909973144549
4,Reach ,0.11778521537780762
5,Position,0.7659153938293457
6,Grasp ,0.23765182495117188
7,Realese,0.1261284351348877
8,Grasp ,1.0340263843536377
9,Position,0.2294297218322754
10,Grasp ,0.3634219169616699
11,Position,0.46411705017089844
12,Reach ,0.21000599861145197
13,idle,0.10374617576598943
14,Position,0.6054379940032959
15,Grasp ,0.2446444034576416
16,Position,2.512376070022583
17,idle,0.11802482604980469
18,Grasp ,0.25092840194702504
19,Reach ,0.11462879180907848
20,Grasp ,0.2107532024383545
21,Position,0.10315370559692738
22,idle,0.22643733024596813
23,Position,2.035355091094967
24,Grasp ,0.09749031066894887
25,Realese,0.18683719635009766
26,Position,0.16511130332947133
27,idle,0.07789921760559082
28,Grasp ,0.208182811737057
29,Reach ,0.0896749496459961
30,Position,1.446947336196903
31,idle,0.08385396003722789
32,Realese,0.14815044403075817
33,Reach ,0.09204554557800648
34,Position,0.4024014472961426
35,idle,0.07974910736083984
36,Position,1.8043277263641357
37,idle,0.09590482711791992
38,Position,0.19086837768554332
39,idle,0.18376541137695668
40,Position,0.43532800674438477
41,Realese,0.1622629165649414
42,Position,0.11991119384765625
43,idle,0.10749149322509766
44,Position,0.22330904006958008
45,idle,0.16393041610717773
46,Position,0.09063100814819336
47,Reach ,0.08471202850341797
48,Position,0.10573101043701172
49,Realese,0.10353827476501465
50,Reach ,0.3770890235900879
51,idle,0.17670750617980957
52,Reach ,0.1270899772644043
53,idle,1.5494024753570557
54,Reach ,0.10964250564575195
55,Position,0.7314066886901855
56,Grasp ,0.5904521942138672
57,idle,0.10774707794189453
58,Grasp ,1.294741153717041
59,idle,0.08244872093200684
60,Grasp ,1.5225043296813965
61,Position,0.09362602233886719
62,Grasp ,0.20079660415649414
63,Position,0.2079484462738037
64,Grasp ,0.11186933517456055
65,idle,0.09443926811218262
66,Grasp ,0.18683457374572754
67,idle,0.12598872184753418
68,Grasp ,0.3293192386627197
69,Position,0.47353482246398926
70,Grasp ,0.24143266677856445
71,idle,0.08815479278564453
72,Reach ,0.33788418769837136
73,idle,0.7555198669433594
74,Grasp ,0.4660797119140554
75,idle,0.717137336730957
76,Grasp ,1.1569061279296875
77,Realese,0.1806173324584961
78,idle,0.5416977405548096
79,Grasp ,0.11907720565795898
80,idle,0.09835529327392578
81,Reach ,0.11751651763916016
82,idle,0.23339295387267356
83,Grasp ,0.5314726829528809
84,idle,0.20882344245911355
85,Reach ,1.8057327270507812
86,Grasp ,0.315814733505249
87,Reach ,0.12330937385559082
88,Grasp ,0.12882566452026367
89,Reach ,1.044206142425537
90,Realese,0.12163519859313965
91,idle,0.11367154121398926
92,Reach ,0.09157323837280273
93,idle,0.14908218383789062
94,Reach ,0.617375373840332
95,Grasp ,0.3669116497039795
96,idle,0.10953807830810547
97,Realese,0.18716907501220703
98,Reach ,0.19605755805969238
99,idle,0.08008217811584473
100,Reach ,1.8989100456237793
101,Realese,0.2872443199157715
102,idle,0.15398240089416504
103,Position,0.0009925365447998047
104,Reach ,0.08840465545654297
105,Realese,0.10690569877624512
106,Position,0.22441720962525125
107,idle,0.0904095172882009
108,Realese,0.09701895713805442
109,Position,0.31528711318970437
110,idle,1.7844088077545166
111,Position,0.25950074195861816
112,idle,0.7298977375030518
113,Position,0.14509820938110352
114,Realese,0.10675525665283203
115,Grasp ,0.12293887138366699
116,idle,0.1256415843963623
117,Position,0.1269519329071045
118,idle,0.5077285766601562
119,Reach ,0.1209249496459961
120,idle,0.3377065658569336
121,Move,0.14072155952453613
122,idle,0.8603708744049143
123,Reach ,0.18346238136290793
124,idle,0.40112948417663574
125,Reach ,2.822939157485962
126,Grasp ,0.10943698883057351
127,Reach ,0.17846322059630637
128,Position,0.1677861213684082
129,Reach ,0.18688440322875977
130,Realese,0.16129255294799805
131,Reach ,0.1797785758972168
132,Realese,0.17094683647155762
133,Reach ,0.1472616195678711
134,Grasp ,0.3517005443572998
135,Reach ,3.5119404792785645
136,idle,0.25508999824523926
137,Position,0.15924358367919922
138,idle,0.25640177726745605
139,Realese,0.295651912689209
140,Reach ,0.28562426567077637
