group_id,Output,difference
1,Move,
2,Idle,0.13333333333333341
3,Move,0.5333333333333332
4,Grasp ,0.03333333333333344
5,Move,0.3666666666666666
6,Grasp ,0.0
7,Move,0.10000000000000009
8,Grasp ,0.09999999999999987
9,Move,0.23333333333333361
10,Grasp ,0.06666666666666643
11,Move,0.06666666666666665
12,Grasp ,0.30000000000000004
13,Move,0.16666666666666652
14,Grasp ,0.06666666666666687
15,Move,0.033333333333333215
16,Grasp ,0.2333333333333334
17,Move,0.033333333333333215
18,Grasp ,0.03333333333333366
19,Move,0.5333333333333332
20,Grasp ,0.19999999999999973
21,Position,0.10000000000000009
22,Grasp ,0.033333333333333215
23,Position,0.13333333333333375
24,Grasp ,0.033333333333333215
25,Position,0.03333333333333277
26,Grasp ,0.03333333333333366
27,Position,0.06666666666666643
28,Grasp ,0.06666666666666687
29,Position,0.40000000000000036
30,Grasp ,0.033333333333333215
31,Position,0.033333333333333215
32,Grasp ,0.06666666666666643
33,Position,0.40000000000000036
34,Grasp ,0.06666666666666643
35,Position,0.16666666666666696
36,Grasp ,0.5999999999999996
37,Position,0.2999999999999998
38,Move,0.40000000000000036
39,Position,0.33333333333333304
40,Idle,0.0333333333333341
41,Position,0.13333333333333286
42,Grasp ,0.033333333333333215
43,Move,0.5333333333333332
44,Idle,0.13333333333333375
45,Move,0.2333333333333334
46,Position,0.033333333333333215
47,Move,0.06666666666666643
48,Position,0.033333333333333215
49,Grasp ,0.13333333333333375
50,Move,0.3333333333333339
51,Release,0.13333333333333286
52,Move,0.033333333333333215
53,Grasp ,0.09999999999999964
54,Move,0.06666666666666643
55,Grasp ,0.16666666666666785
56,Position,0.23333333333333073
57,Move,0.03333333333333499
58,Grasp ,0.0
59,Move,0.033333333333333215
60,Position,0.0
61,Move,0.033333333333333215
62,Grasp ,0.06666666666666643
63,Move,0.033333333333333215
64,Grasp ,0.0666666666666682
65,Move,0.033333333333333215
66,Grasp ,0.033333333333333215
67,Reach ,0.033333333333333215
68,Position,0.033333333333333215
69,Move,0.03333333333333499
70,Position,0.13333333333333108
71,Grasp ,0.09999999999999964
72,Reach ,0.0666666666666682
73,Move,0.16666666666666607
74,Release,0.03333333333333499
75,Move,0.26666666666666394
76,Grasp ,0.03333333333333499
77,Position,0.06666666666666643
78,Grasp ,0.033333333333333215
79,Position,0.033333333333333215
80,Grasp ,0.0
81,Position,0.4666666666666668
82,Grasp ,0.033333333333333215
83,Move,0.033333333333333215
84,Grasp ,0.03333333333333499
85,Position,0.06666666666666288
86,Grasp ,0.03333333333333499
87,Move,1.9333333333333336
88,Grasp ,0.36666666666666714
89,Move,0.033333333333333215
90,Grasp ,0.033333333333333215
91,Move,0.43333333333333357
92,Grasp ,0.10000000000000142
93,Position,0.09999999999999787
94,Idle,0.033333333333333215
95,Release,0.033333333333333215
96,Idle,0.033333333333333215
97,Position,1.2666666666666675
98,Idle,0.03333333333333499
99,Position,0.1999999999999975
100,Move,0.06666666666666643
101,Release,0.03333333333333499
102,Move,0.033333333333333215
103,Grasp ,0.0
104,Move,0.033333333333333215
105,Grasp ,0.0
106,Move,0.033333333333333215
107,Grasp ,0.033333333333333215
108,Move,0.0
109,Position,0.033333333333333215
110,Move,0.03333333333333499
111,Grasp ,0.03333333333333144
112,Move,0.0
113,Grasp ,0.03333333333333499
114,Reach ,0.0
115,Grasp ,0.1666666666666643
116,Move,0.03333333333333499
117,Grasp ,0.06666666666666643
118,Move,0.6333333333333329
119,Idle,0.03333333333333144
120,Move,0.3333333333333357
121,Grasp ,0.1666666666666643
122,Move,0.03333333333333499
123,Grasp ,0.10000000000000142
124,Move,0.1999999999999993
125,Reach ,0.0
126,Move,0.06666666666666643
127,Reach ,0.0
128,Move,0.03333333333333144
129,Release,0.0
130,Grasp ,0.10000000000000142
131,Position,0.03333333333333144
