x,y
828,342
830,349
831,348
831,347
834,346
837,344
838,344
841,337
834,344
829,346
831,349
835,350
836,353
839,356
839,356
835,365
817,363
815,387
826,384
839,377
840,367
842,344
846,338
831,331
827,329
827,326
827,326
823,324
823,323
824,322
825,322
823,323
823,327
824,326
823,329
824,329
823,329
825,330
824,329
827,328
829,328
830,327
837,326
835,327
831,327
828,327
828,328
826,329
828,329
829,330
829,330
839,347
841,351
844,354
844,354
857,370
855,372
845,372
845,371
855,369
851,375
850,373
836,372
831,360
829,362
846,397
790,411
819,355
803,342
679,319
788,340
786,341
784,340
784,342
792,350
791,350
652,334
790,372
788,377
767,424
748,429
702,449
699,448
696,446
695,445
694,442
693,440
693,440
710,453
712,453
725,456
736,463
497,372
508,378
607,417
658,444
655,445
660,450
659,449
659,450
661,451
662,450
664,452
676,452
680,453
681,453
698,461
703,465
708,470
718,479
744,494
736,497
451,362
445,370
444,373
449,373
457,373
457,374
477,378
492,376
506,370
525,375
531,380
532,380
534,379
535,379
537,376
540,374
541,373
538,374
538,373
538,373
538,370
538,370
536,368
531,367
524,367
317,311
524,367
316,307
517,365
316,299
516,365
679,259
677,263
679,257
678,258
692,247
693,245
688,246
687,247
638,263
625,283
712,279
730,293
730,295
730,290
734,286
736,285
737,284
745,287
747,286
742,283
739,279
740,279
741,278
747,278
747,283
742,282
741,280
742,280
742,280
742,280
743,281
744,282
745,284
740,308
738,314
726,327
721,331
708,335
708,336
607,336
589,333
588,332
586,328
590,328
597,328
597,328
599,332
599,346
599,354
599,352
591,371
585,374
571,372
552,370
549,366
547,366
463,411
471,404
475,403
480,402
480,402
492,405
523,385
544,378
553,380
553,379
551,380
551,379
553,382
552,383
552,385
552,385
551,386
549,386
549,385
549,386
550,385
551,385
552,385
553,385
553,386
553,386
556,385
556,385
556,385
556,384
556,383
556,383
556,384
556,384
555,383
554,384
552,382
553,382
552,382
552,381
552,381
553,381
553,382
553,381
553,382
556,380
555,379
556,380
557,378
556,377
556,377
556,376
556,375
557,376
557,378
556,377
557,377
557,377
557,378
557,378
557,378
556,378
557,378
557,377
557,377
557,379
557,378
556,377
556,377
538,376
524,370
446,340
438,336
438,337
426,326
417,320
