Output,Time (S)
Position,14.8
Position,14.833333333333334
Position,14.866666666666667
Position,14.9
Position,14.933333333333334
Position,14.966666666666667
Position,15.0
Position,15.033333333333333
Position,15.066666666666666
Position,15.1
Position,15.133333333333333
Position,15.166666666666666
Position,15.2
Position,15.233333333333333
Position,15.266666666666667
Position,15.3
Position,15.333333333333334
Position,15.366666666666667
Position,15.4
Position,15.433333333333334
Idle,15.466666666666667
Position,15.5
Position,15.533333333333333
Position,15.566666666666666
Position,15.6
Position,15.633333333333333
Position,15.666666666666666
Move,15.733333333333333
Release,15.766666666666667
Move,15.8
Grasp ,15.8
Move,15.833333333333334
Grasp ,15.833333333333334
Move,15.866666666666667
Grasp ,15.9
Move,15.9
Position,15.933333333333334
Move,15.933333333333334
Move,15.966666666666667
Grasp ,16.0
Move,16.0
Grasp ,16.033333333333335
Reach ,16.033333333333335
Grasp ,16.066666666666666
Grasp ,16.1
Grasp ,16.133333333333333
Grasp ,16.166666666666668
Grasp ,16.2
Move,16.233333333333334
Grasp ,16.266666666666666
Grasp ,16.3
Move,16.333333333333332
Move,16.366666666666667
Move,16.4
Move,16.433333333333334
Move,16.466666666666665
Move,16.5
Move,16.533333333333335
Move,16.566666666666666
Move,16.6
Move,16.633333333333333
Move,16.666666666666668
Move,16.7
Move,16.733333333333334
Move,16.766666666666666
Move,16.8
Move,16.833333333333332
Move,16.866666666666667
Move,16.9
Move,16.933333333333334
Idle,16.966666666666665
Move,17.0
Move,17.033333333333335
Move,17.033333333333335
Move,17.066666666666666
Move,17.1
Move,17.266666666666666
Move,17.3
Grasp ,17.466666666666665
Move,17.5
Grasp ,17.533333333333335
Grasp ,17.566666666666666
Grasp ,17.6
Move,17.633333333333333
Move,17.666666666666668
Move,17.7
Move,17.733333333333334
Move,17.766666666666666
Move,17.8
Reach ,17.8
Move,17.833333333333332
Move,17.866666666666667
Reach ,17.866666666666667
Move,17.9
Release,17.9
Grasp ,17.933333333333334
Grasp ,17.966666666666665
Grasp ,18.0
Position,18.033333333333335
Move,18.066666666666666
Move,18.1
Move,18.133333333333333
Move,18.166666666666668
Move,18.2
Move,18.233333333333334
Move,18.266666666666666
Move,18.3
Move,18.333333333333332
Move,18.366666666666667
Move,18.4
Grasp ,18.433333333333334
Move,18.466666666666665
Move,18.5
Move,18.533333333333335
Move,18.566666666666666
Move,18.6
Grasp ,18.633333333333333
Grasp ,18.666666666666668
Grasp ,18.7
Grasp ,18.733333333333334
Grasp ,18.766666666666666
Grasp ,18.8
Grasp ,18.833333333333332
Grasp ,18.866666666666667
Grasp ,18.9
Grasp ,18.933333333333334
Grasp ,18.966666666666665
Grasp ,19.0
Grasp ,19.033333333333335
Grasp ,19.066666666666666
Grasp ,19.1
Grasp ,19.133333333333333
Grasp ,19.166666666666668
Grasp ,19.2
Grasp ,19.233333333333334
Grasp ,19.266666666666666
Grasp ,19.3
Grasp ,19.333333333333332
Grasp ,19.366666666666667
Grasp ,19.4
Grasp ,19.433333333333334
Grasp ,19.466666666666665
Grasp ,19.5
Grasp ,19.533333333333335
Move,19.566666666666666
Move,19.6
Move,19.633333333333333
Move,19.666666666666668
Grasp ,19.7
Move,19.733333333333334
Move,19.766666666666666
Move,19.8
Grasp ,19.833333333333332
Move,19.866666666666667
Grasp ,19.9
Grasp ,19.933333333333334
Grasp ,19.966666666666665
Position,20.0
Position,20.033333333333335
Grasp ,20.066666666666666
Position,20.1
Position,20.133333333333333
Release,20.166666666666668
Release,20.2
Position,20.233333333333334
Position,20.266666666666666
Position,20.3
Move,20.333333333333332
Position,20.366666666666667
Position,20.4
Position,20.433333333333334
Position,20.466666666666665
Position,20.5
Position,20.533333333333335
Position,20.566666666666666
Grasp ,20.6
Position,20.633333333333333
Position,20.666666666666668
Move,20.7
Position,20.733333333333334
Position,20.766666666666666
Position,20.8
Position,20.833333333333332
Position,20.866666666666667
Position,20.9
Position,20.933333333333334
Position,20.966666666666665
Position,21.0
Position,21.033333333333335
Position,21.066666666666666
Position,21.1
Position,21.133333333333333
Position,21.166666666666668
Position,21.2
Position,21.233333333333334
Position,21.266666666666666
Position,21.3
Position,21.333333333333332
Position,21.366666666666667
Position,21.4
Position,21.433333333333334
Position,21.466666666666665
Position,21.5
Position,21.533333333333335
Position,21.566666666666666
Position,21.6
Position,21.633333333333333
Position,21.666666666666668
Position,21.7
Position,21.733333333333334
Position,21.766666666666666
Position,21.8
