x,y,Time
734,367,0.06666666666666667
467,419,0.16666666666666666
470,413,0.2
474,408,0.23333333333333334
475,407,0.26666666666666666
486,404,0.3
486,404,0.3333333333333333
486,403,0.36666666666666664
487,402,0.4
487,402,0.43333333333333335
534,416,0.5333333333333333
539,414,0.5666666666666667
539,413,0.6
543,415,0.6333333333333333
542,415,0.6666666666666666
542,416,0.7
542,416,0.7333333333333333
547,413,0.7666666666666667
547,413,0.8
547,413,0.8333333333333334
546,413,0.8666666666666667
545,414,0.9
545,414,0.9333333333333333
545,414,0.9666666666666667
544,414,1.0
544,414,1.0333333333333334
544,414,1.0666666666666667
543,414,1.1
542,413,1.1333333333333333
741,290,1.1333333333333333
542,413,1.1666666666666667
732,305,1.1666666666666667
541,413,1.2
720,318,1.2
541,414,1.2333333333333334
724,320,1.2333333333333334
541,414,1.2666666666666666
542,413,1.3
543,414,1.3333333333333333
544,414,1.3666666666666667
544,414,1.4
544,415,1.4333333333333333
544,415,1.4666666666666666
545,415,1.5
545,415,1.5333333333333334
544,415,1.5666666666666667
544,415,1.6
543,415,1.6333333333333333
543,414,1.6666666666666667
542,414,1.7
542,415,1.7333333333333334
542,416,1.7666666666666666
540,412,1.8
541,413,1.8333333333333333
539,412,1.8666666666666667
540,411,1.9
539,411,1.9333333333333333
539,407,1.9666666666666666
539,408,2.0
537,409,2.033333333333333
536,410,2.066666666666667
536,410,2.1
534,409,2.1333333333333333
534,409,2.1666666666666665
534,409,2.2
533,409,2.2333333333333334
534,408,2.2666666666666666
534,409,2.3
533,409,2.3333333333333335
533,409,2.3666666666666667
533,409,2.4
533,409,2.433333333333333
533,409,2.466666666666667
533,408,2.5
534,407,2.533333333333333
533,405,2.566666666666667
532,406,2.6
532,406,2.6333333333333333
532,405,2.6666666666666665
531,403,2.7
531,403,2.7333333333333334
531,404,2.7666666666666666
531,404,2.8
531,404,2.8333333333333335
532,402,2.8666666666666667
531,403,2.9
533,400,2.933333333333333
533,401,2.966666666666667
534,401,3.0
531,402,3.033333333333333
531,403,3.066666666666667
529,405,3.1
528,406,3.1333333333333333
527,408,3.1666666666666665
528,408,3.2
527,409,3.2333333333333334
527,409,3.2666666666666666
527,409,3.3
525,405,3.3333333333333335
525,404,3.3666666666666667
523,398,3.4
522,395,3.433333333333333
521,394,3.466666666666667
521,393,3.5
521,394,3.533333333333333
521,394,3.566666666666667
521,395,3.6
521,396,3.6333333333333333
522,396,3.6666666666666665
521,396,3.7
521,396,3.7333333333333334
520,396,3.7666666666666666
520,396,3.8
520,396,3.8333333333333335
520,396,3.8666666666666667
520,396,3.9
520,396,3.933333333333333
520,396,3.966666666666667
520,396,4.0
520,396,4.033333333333333
519,396,4.066666666666666
519,396,4.1
519,396,4.133333333333334
519,396,4.166666666666667
522,386,4.2
521,387,4.233333333333333
521,386,4.266666666666667
521,387,4.3
521,386,4.333333333333333
521,386,4.366666666666666
521,385,4.4
522,385,4.433333333333334
522,383,4.466666666666667
523,382,4.5
523,381,4.533333333333333
523,381,4.566666666666666
523,380,4.6
524,379,4.633333333333334
525,377,4.666666666666667
525,376,4.7
525,376,4.733333333333333
527,373,4.766666666666667
527,372,4.8
527,373,4.833333333333333
528,371,4.866666666666666
528,370,4.9
529,369,4.933333333333334
530,368,4.966666666666667
531,368,5.0
531,368,5.033333333333333
530,370,5.066666666666666
530,370,5.1
531,371,5.133333333333334
529,375,5.166666666666667
530,377,5.2
527,384,5.233333333333333
526,384,5.266666666666667
524,385,5.3
523,386,5.333333333333333
522,385,5.366666666666666
522,385,5.4
522,385,5.433333333333334
509,387,5.466666666666667
507,386,5.5
505,386,5.533333333333333
505,386,5.566666666666666
505,385,5.6
509,382,5.633333333333334
514,380,5.666666666666667
520,380,5.7
521,379,5.733333333333333
527,379,5.766666666666667
526,380,5.8
527,379,5.833333333333333
528,380,5.866666666666666
575,416,5.933333333333334
574,421,5.966666666666667
568,426,6.0
572,426,6.033333333333333
565,428,6.066666666666666
554,431,6.1
543,438,6.133333333333334
545,440,6.166666666666667
543,439,6.2
544,439,6.233333333333333
544,439,6.266666666666667
461,444,6.5
462,440,6.533333333333333
473,438,6.566666666666666
485,434,6.6
496,431,6.633333333333334
506,426,6.666666666666667
505,426,6.7
517,418,6.733333333333333
527,412,6.766666666666667
536,407,6.8
544,403,6.833333333333333
547,404,6.866666666666666
548,404,6.9
550,407,6.933333333333334
550,406,6.966666666666667
550,405,7.0
541,405,7.033333333333333
548,404,7.066666666666666
550,401,7.1
550,400,7.133333333333334
548,400,7.166666666666667
546,400,7.2
547,401,7.233333333333333
548,402,7.266666666666667
544,399,7.3
540,394,7.333333333333333
540,395,7.4
540,393,7.433333333333334
543,392,7.466666666666667
514,376,7.566666666666666
503,377,7.6
497,378,7.633333333333334
489,382,7.666666666666667
482,386,7.7
484,382,7.733333333333333
480,384,7.766666666666667
477,384,7.8
477,385,7.833333333333333
481,386,7.866666666666666
481,383,7.9
482,382,7.933333333333334
494,385,7.966666666666667
510,389,8.0
523,393,8.033333333333333
529,393,8.066666666666666
535,397,8.1
540,396,8.133333333333333
547,394,8.166666666666666
557,393,8.2
557,393,8.233333333333333
564,392,8.266666666666667
576,389,8.3
582,387,8.333333333333334
587,385,8.366666666666667
588,385,8.4
588,384,8.433333333333334
594,376,8.466666666666667
597,383,8.566666666666666
587,377,8.6
582,375,8.633333333333333
579,369,8.666666666666666
578,371,8.7
570,366,8.733333333333333
569,368,8.766666666666667
568,369,8.8
564,362,8.833333333333334
561,363,8.866666666666667
563,363,8.9
552,379,8.933333333333334
540,390,8.966666666666667
531,399,9.0
531,400,9.033333333333333
736,355,9.066666666666666
520,408,9.066666666666666
