x,y,Time
493,259,0.0
494,261,0.0
496,262,0.0
497,263,0.0
498,262,0.0
498,262,0.0
498,262,0.0
499,261,0.0
499,261,0.0
500,259,0.0
499,259,0.0
502,254,0.0
505,247,0.0
505,246,0.0
505,246,0.0
507,237,0.0
507,237,0.0
507,237,0.0
506,237,0.0
507,237,0.0
507,238,0.0
506,237,0.0
506,237,0.0
507,237,0.0
506,237,0.0
506,237,0.0
505,237,0.0
504,240,0.0
504,242,0.0
504,244,0.0
503,247,0.0
502,251,0.0
501,253,0.0
502,254,0.0
501,256,0.0
499,260,0.0
497,264,0.0
496,266,0.0
495,268,0.0
494,269,0.0
493,272,0.0
492,275,0.0
489,281,0.0
489,281,0.0
487,283,0.0
485,285,0.0
482,286,0.0
483,286,0.0
480,286,0.0
481,286,0.0
482,284,0.0
482,285,0.0
482,280,0.0
483,280,0.0
484,281,0.0
483,280,0.0
481,279,0.0
481,279,0.0
480,279,0.0
480,281,0.0
480,281,0.0
479,282,0.0
480,282,0.0
480,283,0.0
480,283,0.0
481,279,0.0
481,278,0.0
481,276,0.0
482,275,0.0
482,276,0.0
482,276,0.0
481,275,0.0
480,276,0.0
479,275,0.0
479,275,0.0
477,274,0.0
473,266,0.0
471,270,0.0
473,280,0.0
474,280,0.0
522,342,0.0
525,355,0.0
522,375,0.0
519,395,0.0
517,412,0.0
510,428,0.0
510,432,0.0
565,363,0.0
576,374,0.0
581,362,0.0
585,338,0.0
590,326,0.0
593,319,0.0
595,316,0.0
597,312,0.0
597,312,0.0
600,308,0.0
599,308,0.0
600,307,0.0
600,306,0.0
614,323,0.0
618,326,0.0
622,332,0.0
640,349,0.0
640,352,0.0
646,358,0.0
642,355,0.0
641,352,0.0
640,350,0.0
638,351,0.0
637,350,0.0
637,349,0.0
637,345,0.0
636,340,0.0
635,339,0.0
635,338,0.0
627,332,0.0
627,333,0.0
626,334,0.0
629,341,0.0
630,341,0.0
640,351,0.0
667,367,0.0
682,380,0.0
782,378,0.0
821,358,0.0
796,324,0.0
785,333,0.0
781,339,0.0
780,344,0.0
775,344,0.0
773,343,0.0
772,343,0.0
772,345,0.0
774,348,0.0
774,349,0.0
774,349,0.0
772,349,0.0
771,349,0.0
767,345,0.0
762,341,0.0
761,343,0.0
758,341,0.0
755,335,0.0
752,334,0.0
754,334,0.0
759,341,0.0
767,351,0.0
767,352,0.0
774,431,0.0
762,446,0.0
751,458,0.0
748,459,0.0
730,471,0.0
727,472,0.0
729,475,0.0
730,478,0.0
735,478,0.0
735,477,0.0
732,473,0.0
729,472,0.0
726,470,0.0
725,467,0.0
724,469,0.0
727,472,0.0
727,472,0.0
733,469,0.0
738,470,0.0
739,467,0.0
738,467,0.0
733,470,0.0
733,469,0.0
733,469,0.0
720,474,0.0
719,475,0.0
717,476,0.0
719,475,0.0
719,488,0.0
718,488,0.0
718,490,0.0
717,492,0.0
718,491,0.0
717,491,0.0
718,488,0.0
718,488,0.0
717,489,0.0
717,487,0.0
717,486,0.0
718,483,0.0
718,482,0.0
720,478,0.0
723,477,0.0
726,476,0.0
725,476,0.0
735,474,0.0
738,473,0.0
741,474,0.0
744,483,0.0
743,488,0.0
741,488,0.0
727,487,0.0
709,495,0.0
703,496,0.0
657,435,0.0
655,430,0.0
626,265,0.0
607,275,0.0
607,277,0.0
607,278,0.0
595,280,0.0
592,278,0.0
590,275,0.0
591,275,0.0
584,265,0.0
581,261,0.0
577,255,0.0
574,255,0.0
574,256,0.0
575,258,0.0
577,258,0.0
577,258,0.0
576,263,0.0
573,263,0.0
569,266,0.0
567,267,0.0
565,269,0.0
561,277,0.0
558,275,0.0
553,279,0.0
551,277,0.0
550,274,0.0
554,268,0.0
557,262,0.0
560,262,0.0
562,263,0.0
567,263,0.0
570,262,0.0
578,263,0.0
587,263,0.0
620,259,0.0
631,260,0.0
657,266,0.0
669,266,0.0
670,265,0.0
670,265,0.0
673,256,0.0
673,255,0.0
675,254,0.0
677,254,0.0
675,255,0.0
663,263,0.0
653,272,0.0
651,277,0.0
649,275,0.0
662,278,0.0
732,269,0.0
736,271,0.0
735,271,0.0
734,272,0.0
731,268,0.0
735,270,0.0
740,268,0.0
746,270,0.0
303,360,0.0
746,271,0.0
307,364,0.0
746,275,0.0
745,277,0.0
747,283,0.0
745,287,0.0
724,305,0.0
711,317,0.0
708,318,0.0
683,337,0.0
659,350,0.0
376,472,0.0
635,362,0.0
617,373,0.0
616,371,0.0
613,374,0.0
618,373,0.0
621,368,0.0
623,366,0.0
625,366,0.0
630,367,0.0
638,369,0.0
638,374,0.0
636,376,0.0
633,378,0.0
625,381,0.0
615,383,0.0
602,383,0.0
594,377,0.0
584,371,0.0
584,371,0.0
574,367,0.0
567,368,0.0
567,369,0.0
568,369,0.0
570,375,0.0
571,376,0.0
577,378,0.0
589,380,0.0
589,379,0.0
614,392,0.0
614,394,0.0
615,395,0.0
601,398,0.0
595,398,0.0
595,398,0.0
595,398,0.0
543,389,0.0
531,386,0.0
520,382,0.0
259,464,0.0
469,401,0.0
261,468,0.0
460,407,0.0
265,469,0.0
452,420,0.0
266,476,0.0
448,422,0.0
466,416,0.0
479,415,0.0
552,367,0.0
556,363,0.0
558,361,0.0
558,362,0.0
551,376,0.0
551,381,0.0
552,381,0.0
552,382,0.0
552,383,0.0
551,384,0.0
552,387,0.0
553,388,0.0
553,389,0.0
553,389,0.0
554,388,0.0
554,389,0.0
554,389,0.0
554,389,0.0
554,389,0.0
554,389,0.0
560,386,0.0
563,386,0.0
566,387,0.0
581,380,0.0
582,381,0.0
589,376,0.0
590,373,0.0
590,371,0.0
584,369,0.0
582,368,0.0
580,368,0.0
579,367,0.0
574,366,0.0
566,368,0.0
558,369,0.0
543,366,0.0
539,366,0.0
535,364,0.0
517,365,0.0
505,366,0.0
505,367,0.0
446,370,0.0
427,369,0.0
418,350,0.0
348,333,0.0
393,341,0.0
364,360,0.0
364,371,0.0
367,383,0.0
376,386,0.0
382,386,0.0
390,387,0.0
389,386,0.0
448,393,0.0
448,385,0.0
531,399,0.0
533,400,0.0
549,396,0.0
554,392,0.0
555,391,0.0
554,392,0.0
556,391,0.0
556,393,0.0
556,394,0.0
556,395,0.0
557,396,0.0
558,396,0.0
558,397,0.0
558,397,0.0
557,396,0.0
557,395,0.0
557,395,0.0
557,395,0.0
556,395,0.0
556,395,0.0
557,395,0.0
558,396,0.0
557,396,0.0
557,392,0.0
557,390,0.0
557,389,0.0
555,386,0.0
556,387,0.0
555,388,0.0
555,388,0.0
555,388,0.0
555,388,0.0
557,387,0.0
558,388,0.0
558,388,0.0
558,388,0.0
558,388,0.0
554,385,0.0
435,342,0.0
426,335,0.0
424,336,0.0
423,337,0.0
421,337,0.0
420,337,0.0
419,337,0.0
419,337,0.0
418,337,0.0
418,337,0.0
415,336,0.0
412,332,0.0
412,333,0.0
410,331,0.0
409,328,0.0
408,327,0.0
407,326,0.0
407,326,0.0
407,326,0.0
407,326,0.0
407,327,0.0
407,327,0.0
408,327,0.0
408,327,0.0
408,327,0.0
414,330,0.0
416,333,0.0
429,340,0.0
431,341,0.0
439,344,0.0
443,336,0.0
458,325,0.0
470,319,0.0
473,318,0.0
476,312,0.0
490,301,0.0
503,299,0.0
315,314,0.0
507,297,0.0
510,297,0.0
511,294,0.0
512,292,0.0
512,284,0.0
511,279,0.0
511,278,0.0
510,276,0.0
510,276,0.0
511,275,0.0
511,275,0.0
512,273,0.0
512,272,0.0
512,271,0.0
512,270,0.0
512,271,0.0
511,269,0.0
512,269,0.0
511,267,0.0
512,267,0.0
512,268,0.0
512,266,0.0
512,265,0.0
511,264,0.0
511,262,0.0
512,261,0.0
512,256,0.0
513,252,0.0
514,251,0.0
514,249,0.0
515,246,0.0
515,242,0.0
514,242,0.0
514,243,0.0
514,242,0.0
514,242,0.0
514,242,0.0
514,239,0.0
513,241,0.0
513,241,0.0
510,243,0.0
510,246,0.0
510,246,0.0
510,252,0.0
508,253,0.0
507,253,0.0
504,258,0.0
504,261,0.0
497,266,0.0
495,268,0.0
493,271,0.0
492,273,0.0
490,275,0.0
488,281,0.0
487,281,0.0
486,284,0.0
484,285,0.0
483,286,0.0
483,285,0.0
483,284,0.0
485,284,0.0
503,315,0.0
539,368,0.0
541,378,0.0
543,381,0.0
540,382,0.0
538,382,0.0
530,381,0.0
530,380,0.0
531,379,0.0
534,375,0.0
534,375,0.0
535,372,0.0
505,306,0.0
508,308,0.0
510,281,0.0
502,265,0.0
497,261,0.0
498,261,0.0
499,260,0.0
500,259,0.0
501,258,0.0
499,257,0.0
500,257,0.0
500,257,0.0
500,257,0.0
500,257,0.0
500,257,0.0
751,427,0.0
751,427,0.0
750,427,0.0
750,427,0.0
749,425,0.0
750,423,0.0
753,422,0.0
753,424,0.0
763,418,0.0
768,420,0.0
771,425,0.0
781,422,0.0
781,422,0.0
787,423,0.0
791,426,0.0
788,428,0.0
787,430,0.0
767,429,0.0
764,431,0.0
761,431,0.0
746,430,0.0
742,427,0.0
719,422,0.0
698,418,0.0
673,411,0.0
658,402,0.0
646,395,0.0
641,390,0.0
649,384,0.0
657,381,0.0
663,379,0.0
669,378,0.0
676,377,0.0
679,378,0.0
680,379,0.0
680,381,0.0
679,381,0.0
679,382,0.0
679,386,0.0
679,389,0.0
681,389,0.0
676,396,0.0
675,399,0.0
673,400,0.0
674,400,0.0
673,399,0.0
673,400,0.0
672,400,0.0
671,400,0.0
673,403,0.0
677,404,0.0
684,406,0.0
684,407,0.0
717,403,0.0
734,404,0.0
746,405,0.0
764,405,0.0
765,404,0.0
768,401,0.0
779,390,0.0
781,386,0.0
781,385,0.0
781,384,0.0
780,383,0.0
780,381,0.0
785,380,0.0
787,381,0.0
789,382,0.0
789,383,0.0
792,385,0.0
794,387,0.0
794,386,0.0
794,386,0.0
788,393,0.0
789,397,0.0
787,399,0.0
780,407,0.0
780,407,0.0
776,410,0.0
778,410,0.0
779,411,0.0
779,412,0.0
781,415,0.0
781,420,0.0
782,420,0.0
782,420,0.0
779,420,0.0
778,419,0.0
778,419,0.0
784,412,0.0
791,411,0.0
797,406,0.0
824,389,0.0
826,385,0.0
826,384,0.0
739,385,0.0
724,383,0.0
697,388,0.0
693,394,0.0
694,403,0.0
691,403,0.0
684,473,0.0
659,454,0.0
667,460,0.0
657,445,0.0
801,383,0.0
795,376,0.0
776,372,0.0
756,372,0.0
734,370,0.0
624,347,0.0
621,347,0.0
620,345,0.0
622,342,0.0
622,341,0.0
461,356,0.0
461,357,0.0
462,359,0.0
463,358,0.0
464,357,0.0
545,437,0.0
544,437,0.0
544,438,0.0
544,438,0.0
547,438,0.0
547,438,0.0
550,438,0.0
558,439,0.0
558,440,0.0
555,443,0.0
553,444,0.0
547,445,0.0
545,445,0.0
538,444,0.0
529,438,0.0
522,433,0.0
510,427,0.0
510,427,0.0
507,425,0.0
507,425,0.0
507,425,0.0
507,425,0.0
506,425,0.0
507,426,0.0
506,425,0.0
506,425,0.0
512,429,0.0
514,432,0.0
519,437,0.0
529,454,0.0
532,464,0.0
533,476,0.0
527,495,0.0
283,486,0.0
528,503,0.0
527,508,0.0
519,517,0.0
514,520,0.0
512,521,0.0
509,519,0.0
510,518,0.0
511,519,0.0
514,519,0.0
514,519,0.0
515,518,0.0
515,518,0.0
515,517,0.0
521,515,0.0
521,514,0.0
522,513,0.0
526,512,0.0
526,512,0.0
526,512,0.0
516,523,0.0
501,533,0.0
494,531,0.0
481,530,0.0
470,530,0.0
471,529,0.0
471,528,0.0
470,529,0.0
470,528,0.0
