group_id,Output,difference
307,Position,0.0
308,Move,0.0
309,Grasp ,0.0
310,Release,0.0
311,Grasp ,0.0
312,Move,0.0
313,Reach ,0.0
314,Grasp ,0.0
315,Move,0.0
316,Grasp ,0.0
317,Move,0.0
318,Grasp ,0.0
319,Reach ,0.0
320,Grasp ,0.0
321,Release,0.0
322,Grasp ,0.0
323,Reach ,0.0
324,Grasp ,0.0
325,Move,0.0
326,Grasp ,0.0
327,Reach ,0.0
328,Move,0.0
329,Grasp ,0.0
330,Move,0.0
331,Reach ,0.0
332,Grasp ,0.0
333,Reach ,0.0
334,Grasp ,0.0
335,Move,0.0
336,Grasp ,0.0
337,Reach ,0.0
338,Move,0.0
339,Reach ,0.0
340,Grasp ,0.0
341,Reach ,0.0
342,Idle,0.0
343,Reach ,0.0
344,Idle,0.0
345,Reach ,0.0
346,Idle,0.0
347,Grasp ,0.0
348,Reach ,0.0
349,Grasp ,0.0
350,Move,0.0
351,Grasp ,0.0
352,Reach ,0.0
353,Grasp ,0.0
354,Move,0.0
355,Grasp ,0.0
356,Move,0.0
357,Reach ,0.0
358,Grasp ,0.0
359,Move,0.0
360,Grasp ,0.0
361,Move,0.0
362,Grasp ,0.0
363,Move,0.0
364,Grasp ,0.0
365,Move,0.0
366,Grasp ,0.0
367,Release,0.0
368,Reach ,0.0
369,Idle,0.0
370,Position,0.0
371,Reach ,0.0
372,Grasp ,0.0
373,Reach ,0.0
374,Release,0.0
375,Position,0.0
376,Move,0.0
377,Position,0.0
378,Move,0.0
379,Grasp ,0.0
380,Move,0.0
381,Grasp ,0.0
382,Move,0.0
383,Grasp ,0.0
384,Position,0.0
385,Release,0.0
386,Position,0.0
387,Release,0.0
388,Idle,0.0
389,Grasp ,0.0
390,Position,0.0
391,Grasp ,0.0
392,Position,0.0
393,Grasp ,0.0
394,Position,0.0
395,Idle,0.0
396,Grasp ,0.0
397,Idle,0.0
398,Release,0.0
399,Position,0.0
400,Release,0.0
401,Position,0.0
402,Grasp ,0.0
403,Position,0.0
404,Reach ,0.0
405,Idle,0.0
406,Reach ,0.0
407,Idle,0.0
408,Reach ,0.0
409,Idle,0.0
410,Reach ,0.0
411,Grasp ,0.0
412,Reach ,0.0
413,Release,0.0
414,Reach ,0.0
415,Idle,0.0
416,Position,0.0
417,Idle,0.0
418,Position,0.0
419,Idle,0.0
420,Position,0.0
421,Idle,0.0
422,Position,0.0
