group_id,Time (s),difference
1,Position,
2,idle,0.4446654319763148
3,Realese,0.25347805023193715
4,idle,0.2482097148895246
5,Position,0.09821438789367676
6,idle,0.22280406951904297
7,Position,0.8709497451782227
8,Move,0.2737419605255127
9,idle,0.014018535614013672
10,Position,0.2152707576751709
11,Move,0.3423149585723877
12,Position,0.2772524356842041
13,idle,0.2919468879699725
14,Grasp ,0.9262464046478254
15,Reach ,0.09935593605041504
16,Grasp ,1.3495779037475586
17,Reach ,0.1154031753540039
18,Grasp ,0.6960361003875732
19,Reach ,0.129561185836792
20,Grasp ,0.43534135818481445
21,Reach ,0.08824706077575684
22,Grasp ,0.1087033748626709
23,Reach ,0.4328870773315394
24,Position,0.6366922855377197
25,Move,0.20284104347229004
26,Position,0.23065543174744008
27,Realese,0.10597705841064453
28,Position,0.1682579517364502
29,idle,0.12198448181152344
30,Position,1.8070170879364014
31,idle,0.12082600593566895
32,Position,5.234136819839474
33,Grasp ,0.1260437965393102
34,Move,0.1103217601776123
35,Grasp ,0.41098475456237793
36,Position,0.3259150981903076
37,idle,0.2672593593597412
38,Position,0.5996475219726562
39,Move,0.09738302230835316
40,Position,0.0010509490966796875
41,Move,0.08754372596740367
42,Position,0.0
43,Move,0.105804443359375
44,Position,0.0010955333709716797
45,Move,0.09246015548706055
46,Position,0.0
47,Move,0.08358168601990101
48,Position,0.002011537551879883
49,Move,0.10761523246764781
50,Position,0.0011420249938964844
51,Move,0.11006855964660645
52,Position,0.38170552253723145
53,Move,0.0953826904296875
54,Position,0.011603355407714844
55,Move,0.13334155082702281
56,Position,0.0010004043579101562
57,Move,0.08440113067627308
58,Position,0.001497507095336914
59,Move,0.14515304565429688
60,Position,0.0020546913146972656
61,Move,0.08848428726196644
62,Position,0.0005114078521692988
63,Move,0.1467421054840088
64,Position,0.0011522769927978516
65,Move,0.10172462463378551
66,Position,0.0009806156158482793
67,Move,0.10681462287902832
68,Position,0.0015170574188232422
69,Move,0.0756533145904541
70,Position,0.0010044574737548828
71,Move,0.09864592552185059
72,Position,0.0014781951904296875
73,Move,0.1057744026184082
74,Position,1.3563532829284668
75,Realese,0.09278392791748047
76,idle,0.1046907901763916
77,Position,1.9031150341033936
78,idle,0.13114690780639648
79,Position,2.0646088123321533
80,idle,0.2708265781402588
81,Position,4.021659851074219
82,Move,0.12312507629394531
83,Position,0.0013983249664235586
84,Move,0.11414170265198464
85,Position,1.5670006275177002
86,idle,0.1199181079864502
87,Position,4.20397686958313
88,idle,0.2349109649658203
89,Position,0.8549721240997314
90,Grasp ,0.09717082977294922
91,Reach ,0.32359957695007324
92,Grasp ,0.2975144386291504
93,Reach ,0.08751678466796875
94,idle,0.10032224655151367
95,Position,0.07955765724182129
96,Grasp ,0.08639788627625222
97,Realese,0.0852661132812429
98,Grasp ,0.17252087593078613
99,Position,0.4459712505340576
100,Reach ,0.2730245590209961
101,Position,0.07225346565246582
102,Reach ,0.20527100563050027
103,Grasp ,0.42712974548339133
104,idle,0.17038273811340332
105,Realese,0.09649014472961426
106,idle,0.09836840629578347
107,Position,0.090318202972405
108,Grasp ,0.0793619155883789
109,Position,0.9552814960479736
110,idle,0.146836519241333
111,Position,0.09345459938049316
112,idle,0.09310030937194824
113,Position,14.496730089187622
114,idle,0.10114932060241699
115,Position,1.7553205490112305
116,Grasp ,0.339094877243042
117,idle,0.40114474296569824
118,Position,0.36061954498291016
119,idle,0.2444620132446289
120,Grasp ,0.12424826622009277
121,Reach ,0.1447463035583496
122,Position,0.6750905513763428
123,idle,0.3216872215270996
124,Reach ,0.10968208312988281
125,Grasp ,0.24691367149353027
126,Realese,0.09946179389953613
127,Position,0.1268479824066162
128,Realese,0.1398773193359375
129,Grasp ,0.10719943046569824
130,Realese,0.10351729393005371
131,Grasp ,0.2301781177520752
132,Realese,0.13085126876831055
133,Grasp ,0.2783968448638916
134,Position,0.10671448707580566
135,Reach ,0.2512643337249756
136,Grasp ,0.18237042427062988
137,Position,0.1545860767364502
138,idle,0.3342411518096924
139,Position,0.36734485626220703
140,Reach ,0.08958077430725098
141,idle,0.20780134201049805
142,Position,0.5386443138122559
143,Grasp ,0.09962797164916992
144,Position,1.7623074054718018
145,idle,0.06104564666748047
146,Position,0.08848714828491211
147,idle,0.09684133529663086
148,Position,19.912176609039292
149,idle,0.10214328765870562
150,Realese,0.4462096691131592
151,Grasp ,0.20398712158201704
152,idle,0.11183142662049761
153,Realese,0.221174955368042
154,idle,0.2388474941253662
155,Realese,0.1222815513610982
156,Grasp ,0.11447453498840332
157,idle,0.11631155014035244
158,Position,0.24416089057923784
159,Realese,0.12946534156800737
160,Grasp ,0.10852098464964399
161,Realese,0.24084854125975141
162,idle,0.77695059776309
163,Realese,0.11190652847287197
164,idle,1.4402399063110352
165,Realese,0.12310028076173296
166,Grasp ,0.3104701042175293
167,idle,0.10189032554626465
168,Reach ,1.7266056537628174
169,idle,0.12283802032470703
170,Grasp ,0.67235112190248
171,idle,0.46279215812681684
172,Position,0.07340025901794434
173,Move,0.0
174,Position,0.36750507354734907
175,Grasp ,0.408310174942045
176,Position,1.4282920360565043
177,Move,0.0939626693725586
178,Position,0.16835784912109375
179,idle,0.0899784564972066
180,Position,0.6081490516662313
181,idle,0.11568570137023926
182,Position,0.24963879585268955
183,Reach ,0.2018589973449565
184,Grasp ,0.2027430534362793
185,Position,0.12924551963806152
186,Realese,0.0005123615265034687
187,idle,0.06997084617613325
188,Grasp ,0.23814749717712402
189,Move,1.821965217590332
190,Position,0.1598825454711914
191,Move,0.0
192,Position,0.12399077415464888
193,idle,0.09576416015626421
194,Realese,0.10117125511170855
195,idle,0.12111949920652876
196,Grasp ,0.10970711708068848
197,idle,0.21979904174806109
198,Realese,0.13221430778501997
199,Position,0.31174278259277344
200,Move,0.0966939926147461
201,Reach ,2.319805145263672
202,Position,0.16394281387330523
203,Grasp ,0.9778201580047607
204,idle,0.1859142780303813
205,Move,0.46709156036376953
206,Position,0.30666613578796387
207,Grasp ,0.29401397705078125
208,Position,0.3901991844177246
209,Grasp ,0.4505736827850342
210,Position,0.10855793952941895
211,idle,0.1165630817413188
212,Position,0.11885285377503862
213,Reach ,0.3224966526031494
214,Position,0.6766386032104634
215,idle,0.1302809715270712
216,Grasp ,0.2303287982940816
217,Position,0.5377941131591797
218,Grasp ,0.21169281005857954
219,Realese,0.3465118408203267
220,idle,0.34150266647338867
221,Realese,0.10283613204956055
222,idle,0.2382206916809082
223,Realese,0.22543764114379883
224,idle,0.6401722431183003
225,Grasp ,0.08782052993771572
226,Realese,0.5054934024810791
227,idle,0.38783383369448643
228,Position,0.08974146842955122
229,Realese,0.08171415328980913
230,Grasp ,0.09419226646421919
231,Realese,0.1762528419494629
232,idle,1.2951240539550781
233,Realese,0.055284976959242726
234,idle,0.48521089553831587
235,Realese,0.8041434288024902
236,Move,0.0
237,idle,0.10002326965332031
238,Position,0.1984868049621582
239,Realese,0.1722726821899414
240,idle,0.1175236701965332
241,Grasp ,0.23718810081481934
242,Position,0.08413958549499512
243,Grasp ,0.11023807525634766
244,Position,0.3282928466796591
245,Realese,0.25757169723513584
246,Position,0.4585552215576172
247,idle,0.11412978172302246
248,Position,0.34206223487854004
249,idle,0.11333966255187988
250,Reach ,0.2986903190612793
251,Grasp ,0.12252473831176758
252,Reach ,0.37958312034606934
253,Position,1.1501243114471436
254,idle,0.3090658187866211
255,Realese,0.08737945556640625
256,idle,0.10517477989196777
257,Position,0.17919397354125977
258,Realese,0.09872269630432129
259,Position,0.10600066184997559
260,idle,0.11210989952087402
261,Realese,0.10918498039245605
262,Position,0.7594971656799316
263,idle,0.0948035717010498
