x,y,Time
736,360,0.03333333333333333
732,366,0.1
734,367,0.13333333333333333
718,372,0.16666666666666666
716,368,0.2
712,362,0.23333333333333334
712,363,0.26666666666666666
709,347,0.3
708,345,0.3333333333333333
708,346,0.36666666666666664
707,347,0.4
707,347,0.43333333333333335
730,254,0.5
737,244,0.5333333333333333
744,230,0.5666666666666667
744,230,0.6
747,220,0.6333333333333333
747,220,0.6666666666666666
748,219,0.7
747,220,0.7333333333333333
742,208,0.7666666666666667
741,208,0.8
742,210,0.8333333333333334
744,214,0.8666666666666667
743,213,0.9
748,219,0.9333333333333333
750,223,0.9666666666666667
753,233,1.0
754,247,1.0333333333333334
753,250,1.0666666666666667
751,266,1.1
717,327,1.2666666666666666
705,343,1.3
700,343,1.3333333333333333
699,343,1.3666666666666667
699,342,1.4
699,341,1.4333333333333333
699,341,1.4666666666666666
698,340,1.5
697,340,1.5333333333333334
698,340,1.5666666666666667
698,339,1.6
697,339,1.6333333333333333
697,337,1.6666666666666667
696,335,1.7
696,335,1.7333333333333334
696,333,1.7666666666666666
696,327,1.8
695,325,1.8333333333333333
696,323,1.8666666666666667
695,322,1.9
695,319,1.9333333333333333
694,312,1.9666666666666666
694,309,2.0
693,306,2.033333333333333
694,306,2.066666666666667
693,302,2.1
694,295,2.1333333333333333
693,292,2.1666666666666665
693,290,2.2
694,289,2.2333333333333334
694,286,2.2666666666666666
694,280,2.3
694,275,2.3333333333333335
694,270,2.3666666666666667
693,261,2.4
694,261,2.433333333333333
693,261,2.466666666666667
692,253,2.5
693,246,2.533333333333333
692,237,2.566666666666667
692,238,2.6
691,236,2.6333333333333333
691,233,2.6666666666666665
692,229,2.7
692,225,2.7333333333333334
692,225,2.7666666666666666
691,225,2.8
692,225,2.8333333333333335
694,211,2.8666666666666667
693,210,2.9
699,197,2.933333333333333
698,197,2.966666666666667
701,186,3.0
700,182,3.033333333333333
700,181,3.066666666666667
700,180,3.1
699,179,3.1333333333333333
696,180,3.1666666666666665
691,183,3.2
691,185,3.2333333333333334
691,185,3.2666666666666666
691,185,3.3
682,204,3.3333333333333335
681,209,3.3666666666666667
667,272,3.433333333333333
661,279,3.466666666666667
660,283,3.5
659,286,3.533333333333333
660,287,3.566666666666667
658,288,3.6
658,287,3.6333333333333333
659,288,3.6666666666666665
660,287,3.7
659,288,3.7333333333333334
659,288,3.7666666666666666
659,289,3.8
660,289,3.8333333333333335
660,290,3.8666666666666667
661,289,3.9
661,290,3.933333333333333
660,290,3.966666666666667
660,290,4.0
660,290,4.033333333333333
660,290,4.066666666666666
661,290,4.1
661,291,4.133333333333334
661,291,4.166666666666667
664,274,4.2
661,270,4.233333333333333
662,269,4.266666666666667
662,269,4.3
663,266,4.333333333333333
663,265,4.366666666666666
662,264,4.4
662,262,4.433333333333334
662,260,4.466666666666667
661,259,4.5
661,259,4.533333333333333
661,258,4.566666666666666
660,257,4.6
660,255,4.633333333333334
660,253,4.666666666666667
659,250,4.7
658,250,4.733333333333333
692,309,5.233333333333333
690,311,5.266666666666667
692,325,5.3
698,332,5.333333333333333
707,333,5.366666666666666
707,335,5.4
707,334,5.433333333333334
949,312,5.666666666666667
945,330,5.7
945,331,5.733333333333333
930,349,5.766666666666667
929,348,5.8
929,349,5.833333333333333
929,348,5.866666666666666
826,442,5.933333333333334
834,450,5.966666666666667
839,450,6.0
840,450,6.033333333333333
847,445,6.066666666666666
853,442,6.1
862,430,6.133333333333334
859,426,6.166666666666667
860,424,6.2
859,424,6.233333333333333
859,423,6.266666666666667
890,438,6.733333333333333
885,460,6.766666666666667
873,469,6.8
877,474,6.833333333333333
886,476,6.866666666666666
881,474,6.9
895,464,6.933333333333334
893,461,6.966666666666667
891,460,7.0
896,429,7.033333333333333
