x,y,Time,Time Difference,Distance Travelled (inch),Total Time,Total Distance (foot),Total Distance (m),Speed (feet/sec),Speed (m/sec)
736,360,0.03333333333333333,,,21.333333333333332,37.296433490508065,11.367957475089849,1.7482703198675655,0.5328730066448367
732,366,0.1,0.06666666666666668,0.4183236284736797,,,,,
734,367,0.13333333333333333,0.033333333333333326,0.12971665057531878,,,,,
718,372,0.16666666666666666,0.033333333333333326,0.9724423943505032,,,,,
716,368,0.2,0.033333333333333354,0.25943330115063756,,,,,
712,362,0.23333333333333334,0.033333333333333326,0.4183236284736797,,,,,
712,363,0.26666666666666666,0.033333333333333326,0.0580110497,,,,,
709,347,0.3,0.033333333333333326,0.9443514706577236,,,,,
708,345,0.3333333333333333,0.033333333333333326,0.12971665057531878,,,,,
708,346,0.36666666666666664,0.033333333333333326,0.0580110497,,,,,
707,347,0.4,0.03333333333333338,0.08204001325323967,,,,,
707,347,0.43333333333333335,0.033333333333333326,0.0,,,,,
730,254,0.5,0.06666666666666665,5.5575675579880714,,,,,
737,244,0.5333333333333333,0.033333333333333326,0.7081151044901418,,,,,
744,230,0.5666666666666667,0.033333333333333326,0.9080165540272315,,,,,
744,230,0.6,0.033333333333333326,0.0,,,,,
747,220,0.6333333333333333,0.033333333333333326,0.6056531397716434,,,,,
747,220,0.6666666666666666,0.033333333333333326,0.0,,,,,
748,219,0.7,0.033333333333333326,0.08204001325323967,,,,,
747,220,0.7333333333333333,0.033333333333333326,0.08204001325323967,,,,,
742,208,0.7666666666666667,0.03333333333333344,0.7541436461,,,,,
741,208,0.8,0.033333333333333326,0.0580110497,,,,,
742,210,0.8333333333333334,0.033333333333333326,0.12971665057531878,,,,,
744,214,0.8666666666666667,0.033333333333333326,0.25943330115063756,,,,,
743,213,0.9,0.033333333333333326,0.08204001325323967,,,,,
748,219,0.9333333333333333,0.033333333333333326,0.4530807821184298,,,,,
750,223,0.9666666666666667,0.033333333333333326,0.25943330115063756,,,,,
753,233,1.0,0.033333333333333326,0.6056531397716434,,,,,
754,247,1.0333333333333334,0.03333333333333344,0.8142238830919211,,,,,
753,250,1.0666666666666667,0.033333333333333215,0.18344704650922758,,,,,
751,266,1.1,0.03333333333333344,0.9354000698615144,,,,,
717,327,1.2666666666666666,0.16666666666666652,4.0512318823219635,,,,,
705,343,1.3,0.03333333333333344,1.160220994,,,,,
700,343,1.3333333333333333,0.033333333333333215,0.2900552485,,,,,
699,343,1.3666666666666667,0.03333333333333344,0.0580110497,,,,,
699,342,1.4,0.033333333333333215,0.0580110497,,,,,
699,341,1.4333333333333333,0.03333333333333344,0.0580110497,,,,,
699,341,1.4666666666666666,0.033333333333333215,0.0,,,,,
698,340,1.5,0.03333333333333344,0.08204001325323967,,,,,
697,340,1.5333333333333334,0.03333333333333344,0.0580110497,,,,,
698,340,1.5666666666666667,0.033333333333333215,0.0580110497,,,,,
698,339,1.6,0.03333333333333344,0.0580110497,,,,,
697,339,1.6333333333333333,0.033333333333333215,0.0580110497,,,,,
697,337,1.6666666666666667,0.03333333333333344,0.1160220994,,,,,
696,335,1.7,0.033333333333333215,0.12971665057531878,,,,,
696,335,1.7333333333333334,0.03333333333333344,0.0,,,,,
696,333,1.7666666666666666,0.033333333333333215,0.1160220994,,,,,
