group_id,Time (s),difference
1,Position,
2,Grasp ,0.4973657131195086
3,Realese,0.9974174499511719
4,Grasp ,0.2226235866546613
5,Realese,0.10279679298401057
6,Grasp ,0.6623816490173322
7,Position,0.546926736831665
8,Reach ,0.07742953300476074
9,idle,0.2768821716308594
10,Realese,0.07888913154602051
11,idle,0.28487062454223633
12,Reach ,0.22395992279052734
13,Realese,0.43402791023254395
14,Position,0.9456663131713867
15,idle,0.10181450843811035
16,Grasp ,0.10718846321105957
17,Reach ,1.6431176662445104
18,Realese,0.2984704971313441
19,Position,0.9319450855255091
20,Realese,0.1169207096099889
21,Position,0.10611581802368164
22,idle,0.08411240577697754
23,Realese,0.3969087600708008
24,Reach ,0.7845234870910645
25,Grasp ,0.38747406005859375
26,Reach ,0.1525132656097412
27,Realese,0.843360185623169
28,Grasp ,0.2662935256958008
29,Realese,0.2660524845123291
30,Position,0.6222457885742188
31,Move,0.0009999275207484004
32,Position,0.0742404460907018
33,Move,0.0009789466857910156
34,Realese,0.4882009029388428
35,Grasp ,0.001013040542602539
36,Reach ,0.20834517478942516
37,Move,0.11146974563598988
38,Grasp ,0.42942953109740856
39,Position,1.1085302829742467
40,Realese,0.6298241615295446
41,Position,0.21619319915771484
42,Realese,0.41317105293273215
43,idle,0.17069625854492188
44,Realese,0.14441180229187367
45,Position,0.22214865684509277
46,Realese,0.10191273689270375
47,idle,0.09639954566955566
48,Realese,0.20420432090758922
49,idle,0.22618365287781117
50,Realese,0.7644190788269007
51,Position,1.8823978900909424
52,Realese,0.14948296546936035
53,Position,0.1318671703338623
54,Realese,0.7608246803283691
55,Grasp ,0.16262388229370117
56,Position,0.4732074737548828
57,Move,0.14615368843078613
58,idle,0.0010290145874023438
59,Position,0.25723838806152344
60,Realese,0.15829110145568848
61,idle,0.141951322555542
62,Grasp ,0.7808256149291992
63,idle,0.3008086681365967
64,Reach ,0.2556893825531006
65,idle,0.12152218818664551
66,Reach ,0.23746061325073242
67,Grasp ,0.38841843605041504
68,Position,0.10930180549621582
69,Grasp ,0.07264995574951172
70,Reach ,0.2918965816497874
71,Position,0.39060401916503196
72,Reach ,0.22501325607299805
73,Position,0.19092869758605957
74,Reach ,0.08731889724731445
75,idle,0.06871700286865234
76,Realese,0.10414719581604004
77,Position,0.3984870910644531
78,Realese,0.2822582721710205
79,Reach ,0.15546584129333496
80,Position,0.2865130901336599
81,Realese,0.3806095123291158
82,idle,0.2603912353515554
83,Realese,0.969973087310791
84,Position,0.07678437232971191
85,Realese,0.09984493255615234
86,Position,0.2877993583679199
87,Realese,0.21530842781066895
88,Position,0.08699941635131836
89,Reach ,0.8513855934143066
90,idle,0.2439568042755127
91,Position,0.20462322235107422
92,Realese,0.07281780242919922
93,Position,1.049452781677246
94,Move,0.10025882720947266
95,Realese,0.17490839958190918
96,Grasp ,0.19685602188111062
97,Realese,0.2059466838836599
98,Reach ,0.17520689964294434
99,Grasp ,0.19695758819580078
100,Realese,0.06301116943359375
101,Grasp ,0.28188657760620117
102,Realese,0.22307252883911133
103,Reach ,0.18198823928833008
104,idle,0.11156368255615234
105,Reach ,0.09178423881530051
106,Grasp ,0.10334920883179421
107,Reach ,1.2218544483184814
108,Realese,0.5731990337371897
109,idle,0.19313931465148215
110,Reach ,0.130018949508667
111,Realese,0.21773815155029297
112,Grasp ,0.08704733848571777
113,Position,1.4766654968261648
114,Realese,0.13569068908692117
115,Position,1.067408800125122
116,Realese,0.10630607604979758
117,Position,0.824126958847053
118,Realese,0.2612266540527344
