Time (s),Output
Position,4.855664968490601
Reach ,5.161691427230835
Release,5.226938486099243
Release,5.32402777671814
Release,5.534329175949097
Release,5.609133958816528
Reach ,5.7125327587127686
Move,5.791795969009399
Position,5.864148378372192
Grasp ,5.9375810623168945
Reach ,6.00143027305603
Reach ,6.073501110076904
Position,6.1325976848602295
Move,6.133102893829346
Move,6.214241027832031
Move,6.2889111042022705
Release,6.445499420166016
Move,6.517387866973877
Move,6.597296953201294
Release,6.664460182189941
Release,6.728893518447876
Release,6.804094076156616
Position,6.871567249298096
Position,6.9344329833984375
Position,7.0060906410217285
Position,7.071858644485474
Position,7.135845184326172
Position,7.204626083374023
Position,7.275765895843506
Position,7.346506118774414
Position,7.416098594665527
Position,7.465890169143677
Position,7.561377286911011
Position,7.628406286239624
Position,7.704180002212524
Position,7.77021598815918
Position,7.8225603103637695
Position,7.885015964508057
Position,7.945230007171631
Position,8.02671480178833
Position,8.103090286254883
Position,8.166557550430298
Position,8.239236831665039
Grasp ,8.302539348602295
Grasp ,8.367405414581299
Position,8.417461633682251
Position,8.519477128982544
Position,8.57991623878479
Position,8.656171798706055
Position,8.732181310653687
Grasp ,8.789255380630493
Grasp ,8.85985803604126
Grasp ,8.924702644348145
Grasp ,8.980987071990967
Grasp ,9.05867886543274
Reach ,9.134427309036255
Reach ,9.206031560897827
Reach ,9.28439712524414
Reach ,9.352014780044556
Reach ,9.421781063079834
Grasp ,9.49425458908081
Grasp ,9.552816390991211
Reach ,9.638372898101807
Reach ,9.710970640182495
Grasp ,9.7848482131958
idle,9.853775024414062
Grasp ,9.932745695114136
Grasp ,10.01079511642456
Grasp ,10.093584775924683
Grasp ,10.158591032028198
Reach ,10.228379487991333
Grasp ,10.298691987991333
Grasp ,10.374770402908325
Reach ,10.454211235046387
Grasp ,10.52769684791565
Reach ,10.589712381362915
Grasp ,10.659783363342285
Grasp ,10.73875379562378
Grasp ,10.81193208694458
Grasp ,10.871552467346191
Grasp ,10.937460660934448
Grasp ,11.021825075149536
idle,11.098368167877197
idle,11.16925597190857
Position,11.235454797744751
Reach ,11.314957618713379
Grasp ,11.395565271377563
Position,11.466737031936646
Position,11.534693241119385
Position,11.891384363174438
idle,11.960548400878906
idle,12.023922443389893
Position,12.076589107513428
Release,12.155270099639893
Release,12.221442222595215
Release,12.28948974609375
Reach ,12.361242532730103
Reach ,12.43338918685913
Reach ,12.494350671768188
Reach ,13.887523889541626
Reach ,14.01412320137024
Reach ,17.63714623451233
Position,17.731327533721924
Reach ,17.833491325378418
Position,17.942803859710693
Position,18.024868488311768
Reach ,18.118512868881226
Reach ,18.211902618408203
Position,18.311829566955566
Grasp ,18.498126745224
Reach ,18.60604953765869
Reach ,20.204814910888672
Position,20.705788373947144
Reach ,20.705788373947144
Position,20.798432111740112
Reach ,21.001420736312866
Reach ,21.080326318740845
Grasp ,21.15447163581848
Grasp ,21.256569862365723
idle,21.350481748580933
idle,21.451276302337646
idle,21.532343864440918
idle,21.62836980819702
idle,21.724242448806763
Position,22.35549759864807
Position,22.452765703201294
Position,22.535016298294067
Position,24.90680503845215
Position,24.999245643615723
Position,25.088263511657715
Position,25.189139366149902
Release,25.286775827407837
Reach ,25.379701852798462
Reach ,25.48686909675598
Move,29.15782642364502
Reach ,29.22538423538208
Position,29.301610708236694
Position,29.384721279144287
Position,29.49001407623291
Grasp ,30.055228233337402
Position,30.140516757965088
Move,30.22393226623535
Reach ,30.31268835067749
Position,30.588823318481445
Position,30.683907508850098
Release,30.79338312149048
Release,30.887578010559082
Move,30.974758625030518
Reach ,31.068159580230713
Reach ,31.16163158416748
Release,31.261253595352173
Release,31.33277702331543
Release,31.431150674819946
Position,31.50207781791687
Position,31.59825587272644
Release,31.693838357925415
Position,31.772788047790527
Position,31.841313362121582
Position,31.93290114402771
Position,32.02219557762146
Release,32.10884165763855
Release,32.18163561820984
Position,32.27657151222229
Position,32.36175346374512
Position,32.45589900016785
Position,32.543484687805176
Position,32.627694845199585
Release,32.69461154937744
Release,32.79135084152222
Release,32.87076926231384
Position,32.95780086517334
Position,33.03872346878052
Position,33.132044076919556
Release,33.231319427490234
Position,33.30996346473694
Position,33.39007616043091
Position,33.46658515930176
Position,33.534204721450806
Position,33.636284828186035
Position,33.72618126869202
Position,33.91644239425659
Position,34.284552574157715
Reach ,34.37664031982422
Position,34.4885036945343
Position,34.58271765708923
Position,34.66427159309387
Position,34.7435827255249
Position,34.834914445877075
Position,34.92044949531555
Position,35.00599408149719
Position,35.08590054512024
Position,35.16680145263672
Position,35.26194524765015
Position,35.35002517700195
Position,35.42719268798828
Release,35.51240825653076
Release,35.612526655197144
Position,35.68818736076355
Position,35.753793478012085
Position,35.856247663497925
Position,35.94190549850464
Release,36.00608968734741
Position,36.10327649116516
Release,36.19907283782959
Release,36.28078627586365
Position,36.36938500404358
Release,36.455039978027344
Release,36.529361724853516
Release,36.61849665641785
Release,36.709837436676025
Release,36.81625413894653
Release,36.9049654006958
Release,36.97778534889221
Position,37.05005240440369
Position,37.1389524936676
Position,37.22854208946228
Release,37.318018198013306
Position,37.38721299171448
Release,37.4857964515686
Release,37.55761766433716
Position,38.16306471824646
Position,38.28235459327698
Position,38.36381983757019
Position,38.44154143333435
Position,38.50852966308594
Position,38.60683345794678
Position,38.67875051498413
Position,38.77054738998413
Position,38.86972713470459
Position,38.96621322631836
Position,39.04054069519043
Position,39.812601804733276
Position,39.924206256866455
Release,40.006080627441406
Reach ,40.090824842453
Position,40.191524028778076
Position,40.274582386016846
Release,40.351306200027466
Release,40.42824912071228
Move,40.514660358428955
Move,40.5998420715332
Reach ,40.69109559059143
Position,40.79105520248413
Position,40.88618493080139
Position,40.97130584716797
Position,41.05984854698181
Release,41.142070293426514
Release,41.2287757396698
Release,41.321155071258545
Release,41.39336538314819
Position,41.48375344276428
Position,41.597612142562866
Move,41.6959445476532
Move,41.78744411468506
Move,41.883065700531006
Move,41.96208691596985
Position,42.05966353416443
Reach ,42.14215683937073
Position,42.241759061813354
Move,42.294880628585815
Reach ,42.383667945861816
Move,42.477582931518555
Move,42.532076835632324
Move,42.62002515792847
Move,42.70831775665283
Move,42.79594397544861
Move,42.89677810668945
Move,42.99143171310425
Position,43.08268713951111
Position,43.17506647109985
Position,43.28409147262573
Position,43.35931944847107
Position,43.45233750343323
Move,43.550628423690796
Move,43.632428884506226
Grasp ,43.70680332183838
Position,43.79626965522766
Position,43.89010715484619
Position,43.9663941860199
Reach ,44.039005279541016
Reach ,44.12717008590698
Reach ,44.21069049835205
Reach ,44.30502152442932
Position,44.386815786361694
Position,44.47551417350769
Reach ,44.581024169921875
Reach ,44.657700538635254
Reach ,44.75725603103638
Move,44.85320711135864
Reach ,44.94456434249878
Reach ,45.03097605705261
Position,45.121312379837036
Position,45.21404242515564
Position,45.31535816192627
Position,45.40600085258484
Reach ,45.501481771469116
Move,45.61324191093445
Position,45.68978691101074
Reach ,45.76829695701599
idle,45.86395049095154
Position,45.96324181556702
Position,46.048283100128174
Position,46.1322500705719
Position,46.235342025756836
Position,46.34697198867798
Position,46.425360918045044
Position,46.51668882369995
Position,46.610933780670166
Position,46.698840856552124
Position,46.784098863601685
Position,46.86372399330139
Position,46.94886803627014
Position,47.03804039955139
Position,47.11661219596863
Position,47.19723963737488
Position,47.26382827758789
Position,47.35055446624756
Position,47.445555686950684
Reach ,47.53860878944397
Reach ,47.625529289245605
Reach ,48.28113675117493
Reach ,48.36192011833191
idle,48.44183278083801
Grasp ,48.53194832801819
Move,48.605958223342896
Position,52.689919233322144
Grasp ,52.79056906700134
Position,53.98634171485901
Position,54.064268350601196
Position,54.15257906913757
Position,54.22598123550415
Release,54.31194567680359
Position,54.391483783721924
Position,54.47792077064514
Position,54.5619535446167
Position,54.63285446166992
Position,54.707639932632446
Position,54.80498003959656
Release,54.89682483673096
Position,55.00195240974426
Release,57.66180205345154
Reach ,59.29320931434631
Position,59.37231159210205
Reach ,59.92269015312195
Reach ,60.010130882263184
Reach ,60.07673144340515
idle,60.16330885887146
Grasp ,60.25644302368164
Grasp ,60.348557233810425
Grasp ,60.44835448265076
idle,60.52983999252319
idle,60.616259813308716
idle,60.68620157241821
Reach ,60.794837474823
Reach ,60.89157223701477
Reach ,61.06964707374573
Reach ,61.17014479637146
Reach ,61.26620006561279
Release,61.356337547302246
Release,61.4536828994751
Release,61.53572726249695
Release,61.618433475494385
Position,61.91718149185181
idle,62.62823247909546
Reach ,62.790952920913696
Reach ,62.88273525238037
Grasp ,63.04344034194946
Release,63.124825954437256
Release,63.22264766693115
Reach ,63.320313692092896
Reach ,63.404836654663086
Position,63.49704122543335
Position,63.56579232215881
Position,63.630091190338135
Position,63.742242097854614
Release,63.8221755027771
Release,63.905802965164185
Release,64.02477526664734
Release,64.10476088523865
Release,64.18470597267151
Release,64.2741756439209
Release,64.35391116142273
Release,64.43334889411926
Release,64.51963376998901
Reach ,64.61213445663452
Release,64.70367074012756
Release,64.78449845314026
Release,64.86932229995728
Release,64.96009540557861
Release,65.06562185287476
Release,65.1529107093811
Release,65.24721169471741
Release,65.33078074455261
idle,65.42508172988892
Reach ,65.48874735832214
Release,65.56823062896729
Release,65.66188049316406
Reach ,65.76274561882019
Release,65.83866453170776
Reach ,65.93126249313354
Position,66.01704454421997
idle,66.10301160812378
Reach ,66.19281029701233
Move,66.28089046478271
Move,66.35980916023254
Grasp ,66.45155334472656
Position,66.72732830047607
Release,66.83147883415222
Release,66.92933392524719
Reach ,67.02732944488525
Move,67.11601114273071
Move,67.19902062416077
Move,67.26998662948608
Move,67.35407400131226
Move,67.47082209587097
Move,67.55793046951294
Position,67.55793046951294
Reach ,67.63822364807129
idle,67.63822364807129
Release,67.72835683822632
Release,67.83421325683594
idle,68.03737306594849
idle,68.11914658546448
Reach ,68.20638108253479
Reach ,68.29928874969482
idle,68.38187909126282
idle,68.46081686019897
idle,68.5345733165741
idle,68.62041902542114
Release,68.69702363014221
Release,68.7902569770813
Release,68.88488507270813
Release,68.96321296691895
Position,69.06173181533813
Position,69.15666604042053
Reach ,69.23995804786682
idle,69.32610583305359
Grasp ,69.42022252082825
idle,69.49391865730286
idle,69.58645415306091
idle,69.66192197799683
Position,73.53198218345642
Position,73.61596155166626
Grasp ,73.6905243396759
Grasp ,73.7883722782135
Position,73.87454080581665
Position,73.94776105880737
Grasp ,74.0218722820282
Grasp ,74.09993124008179
Position,74.19149041175842
Reach ,74.27869057655334
Grasp ,74.35920739173889
idle,74.45578241348267
Position,74.55097508430481
Grasp ,74.6349048614502
Position,74.7256932258606
Grasp ,74.79613661766052
Grasp ,74.88455176353455
Grasp ,74.97521710395813
Move,75.05543541908264
Grasp ,75.13302254676819
Grasp ,75.20784735679626
Grasp ,75.27521824836731
Grasp ,75.36483383178711
Grasp ,75.44867134094238
Grasp ,75.5258276462555
Grasp ,75.61030530929565
Grasp ,75.70794796943665
Grasp ,75.7986626625061
Grasp ,75.896808385849
Grasp ,75.99613928794861
Grasp ,76.08711290359497
Grasp ,76.16441869735718
Reach ,76.23644924163818
Grasp ,76.32696461677551
Grasp ,76.39312744140625
Grasp ,76.48343777656555
Reach ,76.56650924682617
Reach ,76.64320087432861
Reach ,76.74914717674255
Reach ,76.84971714019775
Reach ,76.92884922027588
